time,temperature,humidity,water,soilmoisture
1/1/1970 0:00,26.9,50.11,2,59.15
1/1/1970 0:00,25.55,47.57,1,25.77
1/1/1970 0:00,22.07,52.53,0,34.01
1/1/1970 0:00,28.44,41.38,3,40.99
1/1/1970 0:00,28.8,46.39,2,98.06
1/1/1970 0:00,20.85,58.15,1,10.25
1/1/1970 0:00,29.22,50.15,0,87.23
1/1/1970 0:00,23.33,53.85,3,55.69
1/1/1970 0:00,23.62,40.64,2,85.85
1/1/1970 0:00,20.99,57.54,1,44.93
1/1/1970 0:00,24.32,52.13,0,92.78
1/1/1970 0:00,26.64,47.91,3,43.85
1/1/1970 0:00,26.52,58.58,2,94.91
1/1/1970 0:00,23.07,51.93,1,78.31
1/1/1970 0:00,23.38,56.11,0,94.22
1/1/1970 0:00,20.66,57.14,3,97.72
1/1/1970 0:00,28.9,50.91,2,86.44
1/1/1970 0:00,24.58,56,1,87.37
1/1/1970 0:00,28.22,43.71,0,8.63
1/1/1970 0:00,26.38,44.68,3,46.27
1/1/1970 0:00,20.07,52.7,2,42.13
1/1/1970 0:00,29.54,44.2,1,97.08
1/1/1970 0:00,22.61,57.14,0,58.13
1/1/1970 0:00,27.07,45.72,3,31.82
1/1/1970 0:00,26.44,57.17,2,66.89
1/1/1970 0:00,24.43,41.12,1,77.75
1/1/1970 0:00,25.95,42.04,0,29.96
1/1/1970 0:00,29.51,53.31,3,94.77
1/1/1970 0:00,28.79,54.02,2,37.6
1/1/1970 0:00,26.13,57.26,1,13.62
1/1/1970 0:00,24.4,45.49,0,18.68
1/1/1970 0:00,25.06,51.41,3,67.28
1/1/1970 0:00,26.24,41.23,2,55.05
1/1/1970 0:00,25.64,50.73,1,10.42
1/1/1970 0:00,26,45.53,0,34.24
1/1/1970 0:00,27.4,59.28,3,31.15
1/1/1970 0:00,23.76,51.19,2,47.26
1/1/1970 0:00,29.71,52.68,1,35.44
1/1/1970 0:00,23.73,46.8,0,0.27
1/1/1970 0:00,27.34,51.81,3,59.98
1/1/1970 0:00,28.77,46.14,2,1.32
1/1/1970 0:00,29.99,50.69,1,83.06
1/1/1970 0:00,29.29,40.06,0,45.09
1/1/1970 0:00,27.26,46.09,3,93.66
1/1/1970 0:00,21.12,46.51,2,12.16
1/1/1970 0:00,29.17,57.62,1,89.82
1/1/1970 0:00,22.53,50.58,0,95.89
1/1/1970 0:00,22.43,48.13,3,96.45
1/1/1970 0:00,29.15,54.21,2,9.9
1/1/1970 0:00,26.91,57.25,1,24.86
1/1/1970 0:00,22.72,59.38,0,10.11
1/1/1970 0:00,24.25,57.99,3,93.25
1/1/1970 0:00,21.1,58.28,2,38.43
1/1/1970 0:00,27.92,41.83,1,32.88
1/1/1970 0:00,20.05,58.4,0,61.43
1/1/1970 0:00,22.06,42.16,3,26.94
1/1/1970 0:00,21.41,50.4,2,59.14
1/1/1970 0:00,22.2,52.51,1,98.48
1/1/1970 0:00,25.37,43.15,0,82.06
1/1/1970 0:00,28.15,45.91,3,51.89
1/1/1970 0:01,20.32,47.19,2,30.71
1/1/1970 0:01,20.26,54.72,1,91.14
1/1/1970 0:01,29.07,45.15,0,47.67
1/1/1970 0:01,20.97,45.47,3,78
1/1/1970 0:01,28.46,43.1,2,55.21
1/1/1970 0:01,28.3,42.81,1,92.57
1/1/1970 0:01,22.73,51.01,0,48.48
1/1/1970 0:01,27.99,40.04,3,93.13
1/1/1970 0:01,20.46,42.05,2,74.53
1/1/1970 0:01,23.48,54.67,1,99.89
1/1/1970 0:01,23.35,43.25,0,98.25
1/1/1970 0:01,26.41,42.69,3,56.32
1/1/1970 0:01,21.87,41.55,2,59.96
1/1/1970 0:01,29.32,48.43,1,16.17
1/1/1970 0:01,24.35,50.84,0,55.81
1/1/1970 0:01,29.64,49.34,3,9.51
1/1/1970 0:01,23.01,51.02,2,9.77
1/1/1970 0:01,20.63,47.47,1,0
1/1/1970 0:01,22.37,50.38,0,32.18
1/1/1970 0:01,29.43,45.65,3,21.37
1/1/1970 0:01,25.71,45.16,2,88.44
1/1/1970 0:01,20.07,47.63,1,31.73
1/1/1970 0:01,25.69,45.88,0,44.59
1/1/1970 0:01,25.11,44.67,3,99.37
1/1/1970 0:01,25.16,41.21,2,51.54
1/1/1970 0:01,25.31,40.76,1,24.11
1/1/1970 0:01,29.65,46.36,0,38.09
1/1/1970 0:01,26.61,57.91,3,39.97
1/1/1970 0:01,23.45,48,2,49.94
1/1/1970 0:01,26.68,46.39,1,24.57
1/1/1970 0:01,26.1,50.11,0,56.94
1/1/1970 0:01,26.07,51.98,3,99.17
